Model,Train R²,Test R²,Train RMSE,Test RMSE
Linear Regression,0.609873031052925,0.5910509795491354,0.7214930466501481,0.7356145375446766
Polynomial Linear,0.6829089327528398,0.6563005879298475,0.6504608570751245,0.6743806675010929
Polynomial Ridge,0.6793189687718951,0.6730142087157953,0.6541326080498825,0.6577792327799665
